sentence,path
a d-aseɣ ahat deg snat ssmanat,"common_voice_kab_23558853,common_voice_kab_23661860"
a dadda win ɛzizen azrar deg lwizen,"common_voice_kab_20474017,common_voice_kab_22472433,common_voice_kab_19348612,common_voice_kab_21795611,common_voice_kab_19271795"
a dayen ad yettfeggiḍ,"common_voice_kab_18967310,common_voice_kab_18771900,common_voice_kab_18682649,common_voice_kab_18672565,common_voice_kab_18772400"
a dda qasi,"common_voice_kab_18760946,common_voice_kab_18687995,common_voice_kab_18673165,common_voice_kab_18679355"
a dda qasi ad nečč inisi,"common_voice_kab_20388189,common_voice_kab_20919974,common_voice_kab_21922575,common_voice_kab_19008421,common_voice_kab_20354726,common_voice_kab_19188396,common_voice_kab_19045947,common_voice_kab_20520063"
a dda yidir,"common_voice_kab_18787228,common_voice_kab_18967373,common_voice_kab_18685435,common_voice_kab_18673039,common_voice_kab_18696108"
a dda yidir anda ara nidir,"common_voice_kab_19147171,common_voice_kab_21911835,common_voice_kab_20912304,common_voice_kab_19000153,common_voice_kab_19028189"
a dda yusef,"common_voice_kab_18812364,common_voice_kab_18734489,common_voice_kab_18685875,common_voice_kab_18734513,common_voice_kab_18672088"
a dda yusef iḥemmlen asusef,"common_voice_kab_19168322,common_voice_kab_21407227,common_voice_kab_19110030,common_voice_kab_22339754,common_voice_kab_19008501"
a dda ɛacur,"common_voice_kab_18679357,common_voice_kab_18673386,common_voice_kab_18772456,common_voice_kab_18947452,common_voice_kab_18691606"
a dda ɛacur ɣur-k amur,"common_voice_kab_19015812,common_voice_kab_22528802,common_voice_kab_20795253,common_voice_kab_21809934,common_voice_kab_19128014,common_voice_kab_18996935"
a dda ɛemmar,"common_voice_kab_18773802,common_voice_kab_18746367,common_voice_kab_18938420,common_voice_kab_18670194"
a dda ɛisa,"common_voice_kab_18691502,common_voice_kab_18786005,common_voice_kab_18739294,common_voice_kab_18702863,common_voice_kab_18828569"
a dda ɛisa ad nens ass-a,"common_voice_kab_19169267,common_voice_kab_19005063,common_voice_kab_20994522"
a dda ɛli,"common_voice_kab_18941043,common_voice_kab_18682480,common_voice_kab_18669056,common_voice_kab_18772316,common_voice_kab_18695168"
a dda ɛli awren yuli,"common_voice_kab_19020325,common_voice_kab_18994687,common_voice_kab_19127397,common_voice_kab_22526402,common_voice_kab_20794278,common_voice_kab_21803464"
a dda ɛli faḍma tebɣa ad tebru,"common_voice_kab_20327150,common_voice_kab_19330701,common_voice_kab_20747321,common_voice_kab_22426015"
a dda ɛli faḍma tebɣa afeqqus,"common_voice_kab_19825773,common_voice_kab_19248630,common_voice_kab_20941307,common_voice_kab_20539863,common_voice_kab_22005183"
a dda ɛli ma tufiḍ aɣyul-nni,"common_voice_kab_22333320,common_voice_kab_20685350,common_voice_kab_19295021,common_voice_kab_21300621,common_voice_kab_20180612"
a dda ḥemmu rnu aɣummu,"common_voice_kab_19004058,common_voice_kab_22202837,common_voice_kab_20988199,common_voice_kab_19182058,common_voice_kab_19045668"
a dderya n isṛayil rgagit seg-s,"common_voice_kab_24386394"
a ddin n uqabac,"common_voice_kab_18278797,common_voice_kab_18170626,common_voice_kab_18166769,common_voice_kab_18178390,common_voice_kab_18817554"
a ddin ṛebbi ayen akka ifrax ttafgen izgaren ala,"common_voice_kab_19230392,common_voice_kab_21912280,common_voice_kab_20906193,common_voice_kab_19470449,common_voice_kab_20514972"
a ddin ṛebbi ayen akka iqjan qnen iǧadarmiyen ala,"common_voice_kab_19192478,common_voice_kab_20478038,common_voice_kab_19453522,common_voice_kab_20784644,common_voice_kab_21796920,common_voice_kab_22498236"
a ddin ṛebbi ayen akka s uwraɣ i aɣ-sebɣen lbusṭa,"common_voice_kab_20516556,common_voice_kab_20907558,common_voice_kab_19203023,common_voice_kab_19526418,common_voice_kab_21912181"
a ddin ṛebbi ayen akka taɣect-a ur tettfakka ara,"common_voice_kab_20739787,common_voice_kab_21739327,common_voice_kab_22423108,common_voice_kab_19340346,common_voice_kab_20327295"
a ddun yid-nteɣ,"common_voice_kab_20562394,common_voice_kab_19869113,common_voice_kab_19394001,common_voice_kab_20967703,common_voice_kab_22150096"
a ddunit a mm tedyanin,"common_voice_kab_22344216,common_voice_kab_21582213,common_voice_kab_19116874,common_voice_kab_19168520,common_voice_kab_19011574"
a ddunit tebɣiḍ akka,"common_voice_kab_18685863,common_voice_kab_18928401,common_voice_kab_18702789,common_voice_kab_18672549,common_voice_kab_18775722"
a ddunit teṛwiḍ taḍsa,"common_voice_kab_18546559,common_voice_kab_18525343,common_voice_kab_18830772,common_voice_kab_18661779,common_voice_kab_18538394"
a ddunit ḥbes ad rseɣ,"common_voice_kab_19021853,common_voice_kab_20808600,common_voice_kab_19146873,common_voice_kab_18996591,common_voice_kab_21843036,common_voice_kab_22699173"
a ddunt yid-neɣ,"common_voice_kab_19405261"
a dunit a lbir n ssem,"common_voice_kab_17570539,common_voice_kab_17414410,common_voice_kab_17568185,common_voice_kab_17405454,common_voice_kab_17547747,common_voice_kab_17693065,common_voice_kab_17441425,common_voice_kab_18495985,common_voice_kab_17422338,common_voice_kab_17669444,common_voice_kab_17646302,common_voice_kab_17535613,common_voice_kab_17516592,common_voice_kab_17504265,common_voice_kab_17529722,common_voice_kab_17711840,common_voice_kab_17584104,common_voice_kab_17497248,common_voice_kab_18156640,common_voice_kab_17417032,common_voice_kab_17948367,common_voice_kab_18284078,common_voice_kab_17630627,common_voice_kab_17580653"
a faḍil anɛem acu i yellan,"common_voice_kab_23585861,common_voice_kab_23686834"
a faḍma axxam,"common_voice_kab_19233625,common_voice_kab_22002828,common_voice_kab_20938150,common_voice_kab_19856688"
a fransa buddeɣ-am lalman,"common_voice_kab_20411231,common_voice_kab_20695165,common_voice_kab_22336523,common_voice_kab_20447939,common_voice_kab_21554578"
a gma bbuṣan wid yebɣan ad aɣ-walin ɣef tgecrar,"common_voice_kab_24506257,common_voice_kab_24280335"
a gma tafat,"common_voice_kab_21619102,common_voice_kab_19311366,common_voice_kab_20225205,common_voice_kab_20705818"
a gma ur yetteɣras,"common_voice_kab_18682017,common_voice_kab_18776634,common_voice_kab_18952086,common_voice_kab_18682600,common_voice_kab_18740294"
a gma ɣas beddel tikli-ik,"common_voice_kab_17578875,common_voice_kab_17571267,common_voice_kab_18438978,common_voice_kab_17525957,common_voice_kab_17541377,common_voice_kab_17542520,common_voice_kab_17693017,common_voice_kab_17531709,common_voice_kab_17557192,common_voice_kab_17575879,common_voice_kab_17534663,common_voice_kab_17738251,common_voice_kab_17460018,common_voice_kab_17679954,common_voice_kab_17811239,common_voice_kab_18295745,common_voice_kab_17547765,common_voice_kab_18064260"
a gma ḥder iman-ik tenɣiḍ akk medden s tismin,"common_voice_kab_20728018,common_voice_kab_21647743,common_voice_kab_20230770,common_voice_kab_19315576,common_voice_kab_22369850"
a gma ṛwaḥ ad nurar ileqqafen,"common_voice_kab_18528378,common_voice_kab_18815611,common_voice_kab_18594464,common_voice_kab_18546529"
a harry aql-iyi tqellqeɣ,"common_voice_kab_22971552,common_voice_kab_22920448"
a illu-iw,"common_voice_kab_24522956,common_voice_kab_24252345"
a imqqur xf b s smmus n tikkal,"common_voice_kab_23550007,common_voice_kab_23661725"
a imsujji ssujji iman-inek,"common_voice_kab_23856863,common_voice_kab_23853984,common_voice_kab_23563442"
a isṛayil rǧu ameɣlal,"common_voice_kab_24292985,common_voice_kab_24546074"
a isṛayil ttkel ɣef umeɣlal,"common_voice_kab_24494017,common_voice_kab_24293468"
a iyi-iffer daxel n uqiḍun-is,"common_voice_kab_24151897"
a iyi-isdari deg uxxam-is,"common_voice_kab_24280291,common_voice_kab_24508444"
a iyi-isɣim ɣef uẓru ɛlayen,"common_voice_kab_24151308,common_voice_kab_24406021"
a jeddi acimi fren udmawen-nsen yaɛni setḥan ad ttren,"common_voice_kab_24302548,common_voice_kab_24446539"
a jeddi maɛlic ad dduɣ yid-k ɣer tejmaɛt,"common_voice_kab_18673412,common_voice_kab_18785983,common_voice_kab_22374800,common_voice_kab_18754006,common_voice_kab_18691447"
a jida ḥku-iyi-d tamacahut-nni n teryel,"common_voice_kab_18951844,common_voice_kab_18630407,common_voice_kab_18605677,common_voice_kab_18529622,common_voice_kab_18772399"
a k-inzu lxiṛ,"common_voice_kab_21093780,common_voice_kab_19188525,common_voice_kab_19074959,common_voice_kab_22306492,common_voice_kab_19095814"
a kenza a yelli ur ttru-ara,"common_voice_kab_18812972,common_voice_kab_18729165,common_voice_kab_18672552,common_voice_kab_18772230,common_voice_kab_18983930"
a kečč yellan d tazmert-iw,"common_voice_kab_24380857"
a kečč yesbedden lḥeqq,"common_voice_kab_28571502,common_voice_kab_24534945"
a kra iqeddcen tamara,"common_voice_kab_17558431,common_voice_kab_17780208,common_voice_kab_17619085,common_voice_kab_18299655,common_voice_kab_17539841,common_voice_kab_17557622,common_voice_kab_17367378,common_voice_kab_17534713,common_voice_kab_17366206,common_voice_kab_17881907,common_voice_kab_17538942,common_voice_kab_18089155,common_voice_kab_17848721,common_voice_kab_17868141,common_voice_kab_17557173,common_voice_kab_17796638,common_voice_kab_17409674,common_voice_kab_17578358,common_voice_kab_17578196"
a kra isɛan ul yelsa,"common_voice_kab_17735278,common_voice_kab_17679928,common_voice_kab_17684049,common_voice_kab_17780606,common_voice_kab_17530762,common_voice_kab_18064877,common_voice_kab_17533592,common_voice_kab_17396243,common_voice_kab_17450019,common_voice_kab_18299540,common_voice_kab_18282812,common_voice_kab_17828150,common_voice_kab_17637568,common_voice_kab_17589121,common_voice_kab_17715965,common_voice_kab_18256234,common_voice_kab_17853328,common_voice_kab_17435428,common_voice_kab_17560108"
a kra umi teqqur tassa,"common_voice_kab_17828792,common_voice_kab_17556822,common_voice_kab_17580043,common_voice_kab_17619581,common_voice_kab_18299755,common_voice_kab_17560097,common_voice_kab_17637692,common_voice_kab_17537931,common_voice_kab_18093505,common_voice_kab_17747006,common_voice_kab_17506765,common_voice_kab_17816133,common_voice_kab_17545155,common_voice_kab_17406625,common_voice_kab_17868276,common_voice_kab_17423573,common_voice_kab_17538932,common_voice_kab_17431653,common_voice_kab_17455676"
a kra yellan da yers-d uḍebsi n lḥenni,"common_voice_kab_20527455,common_voice_kab_20929799,common_voice_kab_19248619,common_voice_kab_21934437,common_voice_kab_19363775"
a kra yesseqdacen awal init-aɣ-d ayen yellan,"common_voice_kab_17733186,common_voice_kab_17717233,common_voice_kab_17711715,common_voice_kab_18489657,common_voice_kab_17977444,common_voice_kab_17800715,common_voice_kab_18107302,common_voice_kab_17824879,common_voice_kab_18311051,common_voice_kab_17780813,common_voice_kab_18068423,common_voice_kab_17841807"
a kunwi akk ixeddmen lbaṭel,"common_voice_kab_24253593"
a kunwi yettaggaden ameɣlal barket ameɣlal,"common_voice_kab_24279494"
a kwen icedhi lxiṛ d rrbeḥ,"common_voice_kab_19070872,common_voice_kab_19191228,common_voice_kab_21089258,common_voice_kab_22279072,common_voice_kab_19112703"
a la yettru kan,"common_voice_kab_20230431,common_voice_kab_21669583,common_voice_kab_22375295,common_voice_kab_19436792,common_voice_kab_20726502"
a ladɣa aneggaru-ayi,"common_voice_kab_18819047,common_voice_kab_18097754,common_voice_kab_18007257,common_voice_kab_17996685,common_voice_kab_17955488"
a lalla a lalla,"common_voice_kab_21677060,common_voice_kab_20238319,common_voice_kab_20728081,common_voice_kab_19321122,common_voice_kab_22401101"
a laman yerna-k lexdeɛ,"common_voice_kab_19122143,common_voice_kab_19015000,common_voice_kab_20758164,common_voice_kab_22447826,common_voice_kab_18996149,common_voice_kab_21765827"
a lbabur a bu uqamum,"common_voice_kab_18127265,common_voice_kab_17970654,common_voice_kab_18024112,common_voice_kab_17963024"
a lbabur bu leḥwaci,"common_voice_kab_17970331,common_voice_kab_18010787,common_voice_kab_18509839,common_voice_kab_18045975,common_voice_kab_22423007"
a lbaz ili-k d ihibi laṣel-ik d aqbayli wehmeɣ anida i ten-tuɣeḍ,"common_voice_kab_20493972,common_voice_kab_22691686,common_voice_kab_19271662,common_voice_kab_19463175,common_voice_kab_20848086"
a lebsa n uqendur,"common_voice_kab_22479517,common_voice_kab_20472938,common_voice_kab_19248668,common_voice_kab_19349177,common_voice_kab_20779899,common_voice_kab_21797006"
a lebḥer akked wayen merra i k-iɛemren iẓẓifet,"common_voice_kab_24178559"
a lefḥel acuɣer i tettzuxxuḍ s ccet i txeddmeḍ,"common_voice_kab_24387616,common_voice_kab_24534286"
a lemri tifeḍ-iyi lmektub,"common_voice_kab_24726865,common_voice_kab_24679669"
a lewḥuc a iderbuzen,"common_voice_kab_24453991,common_voice_kab_24204371"
a lexla fṛeḥ kečč d wayen merra yellan deg-k,"common_voice_kab_24385891,common_voice_kab_24522543"
a leɛǧer n ccac,"common_voice_kab_20897331,common_voice_kab_19363833,common_voice_kab_19248678,common_voice_kab_21905536,common_voice_kab_20514040"
a leḥbab-iw leḥbab-iw,"common_voice_kab_18776711,common_voice_kab_18942544,common_voice_kab_18698171,common_voice_kab_18670266,common_voice_kab_18678702"
a leḥrir afilali,"common_voice_kab_19245487,common_voice_kab_19335943,common_voice_kab_21766067,common_voice_kab_20752101,common_voice_kab_22444249,common_voice_kab_20340510"
a leḥrir ɣef yibernas,"common_voice_kab_20952408,common_voice_kab_22055438,common_voice_kab_20544759"
a lfacnaq n ufilali,"common_voice_kab_22283718,common_voice_kab_20136069,common_voice_kab_21151090,common_voice_kab_20638602,common_voice_kab_19267049"
a lfahem yiɣṛan ssefru-yi-d lemnam,"common_voice_kab_19096910,common_voice_kab_21888324,common_voice_kab_20886006,common_voice_kab_19158905,common_voice_kab_19060217"
a lferḥ-iw ass-a nuklal,"common_voice_kab_20809703,common_voice_kab_21851380,common_voice_kab_19353738,common_voice_kab_20489033,common_voice_kab_19248662"
a lferḥ-iw mi ara yi-d-inin,"common_voice_kab_24276648"
a lfeṭṭa ad kem-id-yali nnḥas,"common_voice_kab_19082060,common_voice_kab_20745354,common_voice_kab_19120947,common_voice_kab_21734357,common_voice_kab_22423037"
a liɣir n wass,"common_voice_kab_18990761,common_voice_kab_17948550,common_voice_kab_17948537,common_voice_kab_18004576,common_voice_kab_18512546"
a lkaysa eǧǧ-iyi,"common_voice_kab_18811591,common_voice_kab_18673147,common_voice_kab_22576381,common_voice_kab_18686220,common_voice_kab_18768502,common_voice_kab_18673194"
a lmalayek d-iɛussen,"common_voice_kab_20730008,common_voice_kab_20254001,common_voice_kab_22405893,common_voice_kab_20729529,common_voice_kab_19329271,common_voice_kab_22405859"
a lmalayek tiɛzizin,"common_voice_kab_22429287,common_voice_kab_21755613,common_voice_kab_20340085,common_voice_kab_20750642"
a lmalayek tiḥbibin,"common_voice_kab_19252201,common_voice_kab_19483524,common_voice_kab_20512739,common_voice_kab_20897941,common_voice_kab_21911377"
a lmuluk yesɛan tazmert,"common_voice_kab_24398032"
a lmus-iw a lmusi-w ccḍeɣ yeɣli ubernus-iw,"common_voice_kab_18953587,common_voice_kab_18716283,common_voice_kab_18760888,common_voice_kab_18776641,common_voice_kab_18738496"
a lqaɛa nnecraḥ,"common_voice_kab_24227191"
a lqaɛa rgagi sdat sidi,"common_voice_kab_24422076,common_voice_kab_24229961"
a lwaldin anfet-iyi,"common_voice_kab_18676638,common_voice_kab_18679348,common_voice_kab_18814178,common_voice_kab_18771877,common_voice_kab_18695646"
a lwexda iṣaṛen aqelmun ar iḍaṛṛen,"common_voice_kab_33906569,common_voice_kab_33221455"
a lxayen aker a bab n uxxam aki,"common_voice_kab_21797749,common_voice_kab_19130745,common_voice_kab_19053287,common_voice_kab_20779859,common_voice_kab_22470559,common_voice_kab_19085241"
a lxir yella wayen tebɣiḍ,"common_voice_kab_18468672,common_voice_kab_18097979,common_voice_kab_17948428,common_voice_kab_18089345,common_voice_kab_18069941,common_voice_kab_18291319,common_voice_kab_18102815"
a lxir-iw a mmi a lxir-iw,"common_voice_kab_22460516,common_voice_kab_19346807,common_voice_kab_20471396,common_voice_kab_20769348,common_voice_kab_19256731,common_voice_kab_21787226"
a lxir-iw a mmi a lxir-iw zewǧeɣ-as i waras,"common_voice_kab_19248795,common_voice_kab_22457993,common_voice_kab_20763208,common_voice_kab_19347623,common_voice_kab_20342836,common_voice_kab_21775031"
a lxir-iw lxir yemlan,"common_voice_kab_20198474,common_voice_kab_22344705,common_voice_kab_20695765,common_voice_kab_19301837,common_voice_kab_21591862"
a lxir-iw lxir-inu,"common_voice_kab_22208176,common_voice_kab_19264776,common_voice_kab_20994148,common_voice_kab_19916406,common_voice_kab_20583745"
a lxiṛ a litra tesɛiḍ llembuḍ,"common_voice_kab_19122229,common_voice_kab_19085184,common_voice_kab_22465368,common_voice_kab_19047642,common_voice_kab_20757674,common_voice_kab_21771391"
a lyamin n saɛid waɛmeṛ la k-id-ssuturen deg usawal,"common_voice_kab_33307643,common_voice_kab_33690203"
a lǧaṛ-iw issin amkan,"common_voice_kab_18684038,common_voice_kab_18673036,common_voice_kab_18817061,common_voice_kab_18686186,common_voice_kab_18758755"
a lǧil amcum axeddaɛ i yessuturen limaṛa,"common_voice_kab_19280653,common_voice_kab_22253056,common_voice_kab_19939921"
a lɛecc n lqaɛa,"common_voice_kab_19168505,common_voice_kab_19010255,common_voice_kab_19105069,common_voice_kab_21210881"
a lḥif yuran,"common_voice_kab_18202127,common_voice_kab_18178240,common_voice_kab_18178470,common_voice_kab_18914581,common_voice_kab_18203903"
a lḥif-ik,"common_voice_kab_18418548,common_voice_kab_18628349,common_voice_kab_18786003,common_voice_kab_18982199,common_voice_kab_18470191"
a lḥif-im,"common_voice_kab_18512617,common_voice_kab_18953588,common_voice_kab_18452699,common_voice_kab_18549607,common_voice_kab_18420918"
a lḥijab-a i cewwel-iyi,"common_voice_kab_18787273,common_voice_kab_18740370,common_voice_kab_18938216,common_voice_kab_18672498,common_voice_kab_18683098"
a macahu idder ihebbej immut ihebbej,"common_voice_kab_17762077,common_voice_kab_17882782,common_voice_kab_17811822,common_voice_kab_17842154,common_voice_kab_17724889,common_voice_kab_17830116,common_voice_kab_17833289,common_voice_kab_17764895,common_voice_kab_17884745,common_voice_kab_17786463,common_voice_kab_17715145,common_voice_kab_17750643,common_voice_kab_17744440,common_voice_kab_17755943,common_voice_kab_17787872,common_voice_kab_17743982,common_voice_kab_17742009,common_voice_kab_17883279,common_voice_kab_17837515,common_voice_kab_17943528,common_voice_kab_17890492,common_voice_kab_17858215,common_voice_kab_17754081,common_voice_kab_17736508"
a mass inu,"common_voice_kab_17447390,common_voice_kab_17583169,common_voice_kab_17789353,common_voice_kab_18086385,common_voice_kab_17723375,common_voice_kab_17717890,common_voice_kab_17448764,common_voice_kab_17528756,common_voice_kab_17448036,common_voice_kab_17653926,common_voice_kab_18499715,common_voice_kab_17539207,common_voice_kab_17824287,common_voice_kab_17587290,common_voice_kab_17988999,common_voice_kab_17672898,common_voice_kab_17577565,common_voice_kab_17690848,common_voice_kab_17568130,common_voice_kab_18153298"
a mass yamada tesɛiḍ asawal,"common_voice_kab_23556931,common_voice_kab_23815981"
a massa d wa i d lqanun,"common_voice_kab_19311269,common_voice_kab_20693509,common_voice_kab_22339743,common_voice_kab_21573756,common_voice_kab_20195692"
a massi,"common_voice_kab_18252437,common_voice_kab_18030859,common_voice_kab_18107497,common_voice_kab_18275953,common_voice_kab_18291425,common_voice_kab_18021609,common_voice_kab_18170525,common_voice_kab_17948416,common_voice_kab_18481100"
a maziɣ,"common_voice_kab_17808521,common_voice_kab_17580042,common_voice_kab_17538664,common_voice_kab_17414977,common_voice_kab_17805985,common_voice_kab_17763193,common_voice_kab_17539587,common_voice_kab_18089082,common_voice_kab_17708759,common_voice_kab_17406615,common_voice_kab_17850055,common_voice_kab_17526801,common_voice_kab_17579125,common_voice_kab_17490373,common_voice_kab_17880982,common_voice_kab_18298656,common_voice_kab_17518511,common_voice_kab_17583429"
a mačči d lebḥer ɣef wacu ik-d-heddreɣ a yungif,"common_voice_kab_17975294,common_voice_kab_18031129,common_voice_kab_17954684,common_voice_kab_18818495,common_voice_kab_18041709"
a maɛṭub tekkat lgerra,"common_voice_kab_22731060,common_voice_kab_22742400"
a maɛṭub tḥemmleḍ lgerra,"common_voice_kab_23360442,common_voice_kab_22941726"
a melmi i d-yusa mṛeḥba yis-s,"common_voice_kab_23742653,common_voice_kab_23536979"
a memmi ḥader iman-ik,"common_voice_kab_20888843,common_voice_kab_20509347,common_voice_kab_19363726,common_voice_kab_19241173,common_voice_kab_21886671"
a meɣres bu sebɛa tnila,"common_voice_kab_19069362,common_voice_kab_20964977,common_voice_kab_22149482,common_voice_kab_19169614,common_voice_kab_19088971"
a mkul mi ara d-yeɣli ṭṭlam,"common_voice_kab_22447718,common_voice_kab_19084916,common_voice_kab_19065144,common_voice_kab_20759165,common_voice_kab_19127765"
a mm imezran,"common_voice_kab_18033074,common_voice_kab_18023693,common_voice_kab_18965985,common_voice_kab_18452875,common_voice_kab_18036556"
a mm timmi teɛdel s lmus,"common_voice_kab_20780089,common_voice_kab_19361450,common_voice_kab_22524733,common_voice_kab_20476070,common_voice_kab_19256569,common_voice_kab_21797062"
a mm tkerkas,"common_voice_kab_19440385,common_voice_kab_19372144,common_voice_kab_20772293,common_voice_kab_21783910,common_voice_kab_20468233,common_voice_kab_22456060"
